ID Number,Date,Activity,Start Time,End Time,Sleep Location,Break Location
0005,1/12/2010,P,3:00,3:30,,
0005,1/12/2010,C,3:30,3:42,,
0005,1/12/2010,W,3:42,12:42,,
0005,1/12/2010,C,12:42,12:52,,
0005,1/12/2010,P,12:52,19:30,,
0005,1/12/2010,S,19:30,3:00,H,
0005,1/13/2010,P,3:00,3:30,,
0005,1/13/2010,C,3:30,3:42,,
0005,1/13/2010,W,3:42,12:42,,
0005,1/13/2010,C,12:42,12:52,,
0005,1/13/2010,P,12:52,21:30,,
0005,1/13/2010,S,21:30,3:00,H,
0005,1/14/2010,P,3:00,3:30,,
0005,1/14/2010,C,3:30,3:42,,
0005,1/14/2010,W,3:42,12:42,,
0005,1/14/2010,C,12:42,12:52,,
0005,1/14/2010,P,12:52,21:30,,
0005,1/14/2010,S,21:30,3:00,H,
0005,1/15/2010,P,3:00,3:30,,
0005,1/15/2010,C,3:30,3:42,,
0005,1/15/2010,W,3:42,12:42,,
0005,1/15/2010,C,12:42,12:52,,
0005,1/15/2010,P,12:52,21:30,,
0005,1/15/2010,S,21:30,7:30,H,
0005,1/16/2010,P,7:30,21:30,,
0005,1/16/2010,S,21:30,0:00,H,
0005,1/4/2010,P,3:00,3:30,,
0005,1/4/2010,C,3:30,3:42,,
0005,1/4/2010,W,3:42,12:42,,
0005,1/4/2010,C,12:42,12:52,,
0005,1/4/2010,P,12:52,21:30,,
0005,1/4/2010,S,21:30,3:00,H,
0005,1/5/2010,P,3:00,3:30,,
0005,1/5/2010,C,3:30,3:40,,
0005,1/5/2010,W,3:40,12:42,,
0005,1/5/2010,C,12:42,12:55,,
0005,1/5/2010,P,12:55,21:30,,
0005,1/5/2010,S,21:30,3:00,H,
0005,1/6/2010,P,3:00,3:30,,
0005,1/6/2010,C,3:30,3:42,,
0005,1/6/2010,W,3:42,12:42,,
0005,1/6/2010,C,12:42,12:52,,
0005,1/6/2010,P,12:52,21:30,,
0005,1/6/2010,S,21:30,3:00,H,
0032,1/13/2010,S,21:20,4:10,H,
0032,1/14/2010,P,4:10,5:00,,
0032,1/14/2010,C,5:00,5:19,,
0032,1/14/2010,W,5:19,10:00,,
0032,1/14/2010,B,10:00,12:30,,Off train
0032,1/14/2010,W,12:30,16:06,,
0032,1/14/2010,C,16:06,16:25,,
0032,1/15/2010,S,0:00,4:15,H,
0032,1/15/2010,P,4:15,5:00,,
0032,1/15/2010,C,5:00,5:19,,
0032,1/15/2010,W,5:19,10:00,,
0032,1/15/2010,B,10:00,12:30,,Off train
0032,1/15/2010,W,12:30,16:06,,
0032,1/15/2010,C,16:06,16:25,,
0032,1/15/2010,P,16:25,23:00,,
0032,1/15/2010,S,23:00,8:30,H,
0032,1/16/2010,P,8:30,14:05,,
0032,1/16/2010,C,14:05,14:45,,
0032,1/16/2010,W,14:45,17:00,,
0032,1/16/2010,B,17:00,22:15,,Off train
0032,1/17/2010,S,1:30,8:30,H,
0032,1/17/2010,P,8:30,16:00,,
0032,1/18/2010,P,4:10,5:00,,
0032,1/18/2010,C,5:00,5:19,,
0032,1/18/2010,W,5:19,10:00,,
0032,1/18/2010,B,10:00,12:30,,Off train
0032,1/18/2010,W,12:30,16:06,,
0032,1/18/2010,C,16:06,16:25,,
0032,1/18/2010,P,16:25,21:00,,
0032,1/18/2010,S,21:00,0:00,H,
0037,1/19/2010,S,0:00,9:30,H,
0037,1/19/2010,P,9:30,16:10,,
0037,1/19/2010,C,16:10,16:40,,
0037,1/19/2010,W,16:40,20:00,,
0037,1/19/2010,L,20:00,0:00,,
0037,1/20/2010,P,0:30,3:00,,
0037,1/20/2010,S,3:00,10:00,H,
0037,1/20/2010,P,10:00,0:00,,
0037,1/21/2010,P,0:00,3:00,,
0037,1/21/2010,S,3:00,9:00,H,
0037,1/21/2010,P,9:00,17:00,,
0037,1/21/2010,S,17:00,18:00,H,
0037,1/21/2010,P,18:00,0:00,,
0037,1/22/2010,P,0:00,1:30,,
0037,1/22/2010,S,1:30,5:30,H,
0037,1/22/2010,P,5:30,6:30,,
0037,1/22/2010,C,6:30,7:00,,
0037,1/22/2010,W,7:00,10:30,,
0037,1/22/2010,I,10:30,18:00,,Off train
0037,1/22/2010,W,18:00,22:30,,
0037,1/22/2010,C,22:30,23:00,,
0037,1/22/2010,P,23:00,1:30,,
0037,1/23/2010,S,1:30,8:30,H,
0037,1/23/2010,P,8:30,22:00,,
0037,1/23/2010,C,22:00,22:30,,
0037,1/23/2010,W,22:30,3:30,,
0037,1/24/2010,C,3:30,4:00,,
0037,1/24/2010,P,4:00,5:30,,
0037,1/24/2010,S,5:30,13:00,H,
0037,1/24/2010,P,13:00,18:00,,
0037,1/24/2010,C,18:00,18:20,,
0037,1/24/2010,W,18:20,22:30,,
0037,1/24/2010,I,22:30,14:20,,
0037,1/25/2010,W,14:20,22:45,,
0037,1/25/2010,C,22:45,23:15,,
0037,1/25/2010,P,23:15,4:00,,
0037,1/26/2010,S,4:00,6:00,H,
0037,1/26/2010,P,6:00,6:30,,
0037,1/26/2010,C,6:30,7:00,,
0037,1/26/2010,W,7:00,10:30,,
0037,1/26/2010,I,10:30,18:00,,Off train
0037,1/26/2010,W,18:00,22:30,,
0037,1/26/2010,C,22:30,23:00,,
0037,1/26/2010,P,23:00,3:00,,
0037,1/27/2010,S,3:00,10:00,H,
0037,1/27/2010,P,10:00,2:00,,
0037,1/28/2010,S,2:00,5:00,H,
0037,1/28/2010,P,5:00,6:30,,
0037,1/28/2010,C,6:30,7:00,,
0037,1/28/2010,W,7:00,10:40,,
0037,1/28/2010,I,10:40,18:00,,Off train
0037,1/28/2010,W,18:00,22:30,,
0037,1/28/2010,C,22:30,23:00,,
0037,1/28/2010,P,23:00,2:00,,
0037,1/29/2010,S,2:00,9:00,H,
0037,1/29/2010,P,9:00,21:00,,
0037,1/29/2010,C,21:00,21:30,,
0037,1/29/2010,W,21:30,1:00,,
0037,1/30/2010,L,1:00,2:00,,
0037,1/30/2010,W,2:00,4:45,,
0037,1/30/2010,C,4:45,5:15,,
0037,1/30/2010,P,5:15,6:00,,
0037,1/30/2010,S,6:00,11:00,H,
0037,1/30/2010,P,11:00,16:00,,
0037,1/30/2010,C,16:00,16:30,,
0037,1/30/2010,W,16:30,19:00,,
0037,1/30/2010,C,19:00,19:30,,
0037,1/30/2010,P,19:30,21:30,,
0037,1/30/2010,S,21:30,4:30,H,
0037,1/31/2010,P,4:30,6:00,,
0037,1/31/2010,S,6:00,10:00,H,
0037,1/31/2010,P,10:00,12:00,,
0037,1/31/2010,C,12:00,12:30,,
0037,1/31/2010,W,12:30,22:45,,
0037,1/31/2010,C,22:45,23:50,,
0037,1/31/2010,P,23:50,2:30,,
0037,2/1/2010,S,2:30,6:00,H,
0037,2/1/2010,P,6:00,6:30,,
0037,2/1/2010,C,6:30,7:00,,
0037,2/1/2010,W,7:00,10:45,,
0037,2/1/2010,I,10:45,18:00,,Off train
0037,2/1/2010,W,18:00,22:45,,
0037,2/1/2010,C,22:45,23:15,,
0037,2/1/2010,P,23:15,0:00,,
0045,1/7/2010,S,0:00,4:50,H,
0045,1/7/2010,P,4:50,5:25,,
0045,1/7/2010,C,5:25,6:00,,
0045,1/7/2010,W,6:00,16:00,,
0045,1/7/2010,C,16:00,16:45,,
0045,1/7/2010,P,16:45,20:50,,
0045,1/7/2010,S,20:50,4:50,H,
